Dateiname,GT,Pred_raw,AbsErr_raw,RelErr_raw,WithinTarget_raw,Pred_cal,AbsErr_cal,RelErr_cal,WithinTarget_cal
3a_860.JPG,860,867.82,7.82,0.01,True,896.93,36.93,0.04,True
DSC08259_0.JPG,0,0.82,0.82,0.82,True,18.44,18.44,18.44,False
FT3a_680.JPG,680,671.13,8.87,0.01,True,697.62,17.62,0.03,True
2a_850.JPG,850,843.75,6.25,0.01,True,872.53,22.53,0.03,True
6b_710.JPG,710,673.43,36.57,0.05,True,699.96,10.04,0.01,True
7b_500.JPG,500,485.58,14.42,0.03,True,509.62,9.62,0.02,True
6a_720.JPG,720,675.98,44.02,0.06,True,702.54,17.46,0.02,True
FT5a_550.JPG,550,564.95,14.95,0.03,True,590.04,40.04,0.07,True
FT5b_520.JPG,520,531.75,11.75,0.02,True,556.41,36.41,0.07,True
FT3b_580.JPG,580,572.15,7.85,0.01,True,597.34,17.34,0.03,True
FT2b_700.JPG,700,683.09,16.91,0.02,True,709.75,9.75,0.01,True
5a_830.JPG,830,821.66,8.34,0.01,True,850.15,20.15,0.02,True
IMG_3579_447.jpg,447,429.74,17.26,0.04,True,453.04,6.04,0.01,True
1a_740.JPG,740,693.98,46.02,0.06,True,720.79,19.21,0.03,True
1b_750.JPG,750,704.84,45.16,0.06,True,731.79,18.21,0.02,True
3b_840.JPG,840,767.16,72.84,0.09,True,794.93,45.07,0.05,True
FT4a_620.JPG,620,639.49,19.49,0.03,True,665.58,45.58,0.07,True
FT1a_606.JPG,606,580.46,25.54,0.04,True,605.76,0.24,0.00,True
4b_780.JPG,780,748.93,31.07,0.04,True,776.46,3.54,0.00,True
2b_750.JPG,750,533.02,216.98,0.29,False,557.69,192.31,0.26,False
IMG_20250328_171414_379.jpg,379,309.32,69.68,0.18,False,331.03,47.97,0.13,False
FT6a_500.JPG,500,500.47,0.47,0.00,True,524.71,24.71,0.05,True
FT7b_390.JPG,390,402.59,12.59,0.03,True,425.53,35.53,0.09,True
FT6b_410.JPG,410,504.60,94.60,0.23,False,528.90,118.90,0.29,False
FT7a_400.JPG,400,449.96,49.96,0.12,False,473.54,73.54,0.18,False
DSC08262_411.JPG,411,400.38,10.62,0.03,True,423.29,12.29,0.03,True
5b_720.JPG,720,636.85,83.15,0.12,False,662.89,57.11,0.08,True
7a_710.JPG,710,556.20,153.80,0.22,False,581.17,128.83,0.18,False
FT8b_370.JPG,370,364.32,5.68,0.02,True,386.76,16.76,0.05,True
FT1b_590.JPG,590,569.12,20.88,0.04,True,594.27,4.27,0.01,True
FT4b_590.JPG,590,605.78,15.78,0.03,True,631.42,41.42,0.07,True
8a_510.JPG,510,425.84,84.16,0.17,False,449.09,60.91,0.12,False
FT8a_400.JPG,400,425.08,25.08,0.06,True,448.32,48.32,0.12,False
8b_540.JPG,540,477.05,62.95,0.12,False,500.98,39.02,0.07,True
4a_780.JPG,780,790.66,10.66,0.01,True,818.74,38.74,0.05,True
FT2a_660.JPG,660,579.71,80.29,0.12,False,605.00,55.00,0.08,True
